customer_id,customer_name,address,city,postcode,country,segment
CUST-c457ed45-8982-46a0-b8ae-b1bec9f81e1b,Matteo Vidal,"Grand Rue 95, Apt 10B",Brussels,28001,Italy,Retail
CUST-75b12d27-022d-445c-bfa6-ec8f96438a29,Noah Ricci,"Rue de la Paix 58, Apt 1",Stockholm,1000,Netherlands,Enterprise
CUST-3c0f69b1-f461-4b7c-837d-0fffba5143e9,Giulia Novák,"Hauptstraße 4, Apt 8",Madrid,75001,Austria,Retail
CUST-2d268d5b-1cf0-405f-8170-8c0e5604bf76,Alejandro Ricci,"Via Roma 2, Apt 1",Brussels,1010,United Kingdom,VIP Member
CUST-5405e892-a40b-4afc-88ca-0252b5dc9f7b,Hugo Rossi,"Prinsengracht 84, Apt 8",Rome,D01,Belgium,Government/Non-Profit
CUST-45f307fa-90a9-4776-9068-b12450c0b246,Giulia García,"Station Road 35, Apt 12A",Stockholm,1000,France,VIP Member
CUST-6ccd618d-ef72-45cf-83f7-960660bc86a2,Emma Schneider,"High Street 61, Apt 3C",Brussels,1000,Spain,VIP Member
CUST-f04b7a38-0a51-4587-86c4-3461fac18b5e,Sofia Dubois,"Hauptstraße 12, Apt 3A",Paris,1011,Sweden,Enterprise
CUST-f02fb94f-ef10-4499-a7d8-bc4f0d927562,Oliver Schneider,"High Street 40, Apt 10C",Madrid,D01,United Kingdom,Enterprise
CUST-d09364e1-e4fa-421e-ac13-f0b4f257406f,Camille Kowalski,"Keizersgracht 29, Apt 13",Brussels,10115,Sweden,Retail
CUST-5e71198b-9ef8-404f-9048-3613c1a48433,Anna Hansen,"Station Road 35, Apt 7A",Stockholm,WC1A,France,Wholesale
CUST-6ff160b8-3833-4921-91d1-102ac96fee31,Noah De Jong,"Gran Vía 8, Apt 13B",Amsterdam,00185,Germany,Wholesale
CUST-7abc9ca0-84b5-46fc-be9a-6e102e89a3be,Alejandro Schneider,"Gran Vía 90, Apt 14B",Berlin,00185,Germany,Enterprise
CUST-ab25de93-0d02-475a-bfa3-3deb0ddc24b8,Clara García,"Rue de la Paix 7, Apt 4B",Vienna,28001,United Kingdom,Retail
CUST-925ab295-eb95-4b7f-b9a6-1398a49f23e7,Liam Weber,"Hauptstraße 75, Apt 13",Berlin,28001,Ireland,Wholesale
CUST-d181ade8-00d8-4132-81f5-86f1e8249ad0,Matteo Moreau,"Grand Rue 89, Apt 5A",Berlin,00185,France,Retail
CUST-e31ef663-c483-4b96-b41a-d92a7f22a284,Matteo Martin,"Calle Mayor 36, Apt 10A",London,75002,France,Retail
CUST-cbc0610f-8f49-497d-ac67-a26a157203c4,Mia Nagy,"Calle Mayor 24, Apt 3A",Paris,10115,Netherlands,Retail
CUST-57da39b5-3e40-472f-aad0-6bc1ca109eaf,Freja Moreau,"Rue de la Paix 36, Apt 2A",Amsterdam,75002,Ireland,Small Business
CUST-07ad50c4-6e0f-45c5-b298-0322db9883f9,Emma Vidal,"Via Roma 96, Apt 8C",Dublin,75002,Belgium,VIP Member
CUST-23f7671e-dec0-4667-ac63-5a70e4723fdb,Noah Novák,"Hauptstraße 12, Apt 1C",Brussels,75001,Belgium,Retail
CUST-7987a7cd-3b84-4c7f-88b1-396e86db8ed3,Camille Smit,"Via Roma 89, Apt 3A",Vienna,111 22,Spain,Small Business
CUST-655e9992-b675-4246-9291-918928db9191,Noah García,"High Street 62, Apt 4",Madrid,WC1A,Italy,Enterprise
CUST-6f6cfa2a-98e6-4c85-8e08-5c2fcd16b563,Lina Kowalski,"Calle Mayor 86, Apt 13C",Amsterdam,75001,Germany,Wholesale
CUST-6df78fb0-41a7-4d89-a095-847d2642a4bb,Mia Martin,"Rue de la Paix 49, Apt 4",Rome,1011,Belgium,VIP Member
CUST-40af7d33-32f9-47f3-8cc3-9ec5b20d1fc4,Giulia Rossi,"Calle Mayor 19, Apt 12A",Dublin,111 22,Ireland,Government/Non-Profit
CUST-ed704256-1094-4d9c-ab9e-9796657e597c,Emma Andersson,"Via Roma 28, Apt 14C",London,111 22,France,Wholesale
CUST-78337e54-3b4a-4a5f-902c-3a9bc0a56190,Anna Rossi,"Grand Rue 83, Apt 10C",London,D01,Belgium,VIP Member
CUST-c3f7c517-5d87-413b-bd9c-f4cf4fe56fc3,Freja Schneider,"Hauptstraße 69, Apt 3",Amsterdam,10115,France,Government/Non-Profit
CUST-f2c8b1d6-2478-485a-a939-0b9885d2e494,Emma Fernández,"Calle Mayor 52, Apt 11A",Stockholm,10115,Belgium,Wholesale
CUST-b14f5581-ad46-4259-9d4d-14dc3c37adf5,Mia Nagy,"Grand Rue 53, Apt 7",Berlin,111 22,Germany,VIP Member
CUST-784174f9-a283-41cb-a2c1-0a93e7231263,Elena De Jong,"Calle Mayor 39, Apt 13A",Rome,75002,Sweden,Wholesale
CUST-83d1a02c-240c-4f94-9621-fe07e809c6d4,Giulia Nagy,"Gran Vía 58, Apt 7B",London,D01,Belgium,Wholesale
CUST-473c7352-267c-4388-82c7-369bfc04647c,Giulia Hansen,"Gran Vía 5, Apt 3C",Vienna,WC1A,Ireland,Government/Non-Profit
